student_id,age,gender,major,gpa,study_hours_per_week,satisfaction_1_5,survey_date,dorm_resident,expected_grad_year,income_range,commute_minutes,clubs_member,attendance_rate,favorite_language,comments
S10000,,Male,Computer Science,nan,nan,2.0,,Yes,2027,>$100k,54,TRUE,105%,JavaScript,Love the course.
S10001,,Male,CompSci,3.75,-3,,,Yes,nan,nan,nan,1,nan,Rust,Lectures are 🔥
S10002,23.0,Male,Data Science,nan,20,5.0,,nan,2027,$75k-$100k,nan,nan,64%,JavaScript,nan
S10003,,Female,History,5.1,nan,,,No,nan,$25k-$50k,15,No,105%,Rust,nan
S10004,,Female,CompSci,nan,0,5.0,,Yes,2029,Prefer not to say,41,No,nan,Python,nan
S10005,22.0,Male,Biology,"4,0",20,4.0,,nan,twenty28,$25k-$50k,nan,No,nan,Rust,nan
S10006,,prefer not to say,Business,nan,nan,2.0,2025-09-07,N,2028,nan,0,FALSE,nan,SQL,Need more examples.
S10007,,non-binary,CompSci,3.69,nan,,,nan,2027,$50k-$75k,nan,0,nan,Rust,Love the course.
S10008,,Male,History,"4,0",ten,3.0,2025-10-18,Yes,2026,>$100k,-5,TRUE,nan,Go,Love the course.
S10009,18.0,Female,nan,3.88,nan,2.0,2025-11-08,N,twenty28,>$100k,nan,1,nan,JavaScript,Too much homework.
S10010,,non-binary,CS,nan,ten,4.0,2025-09-09,Y,2029,>$100k,28,FALSE,74%,Python,nan
S10011,18.0,non-binary,Data Science,nan,nan,4.0,2025-11-09,No,twenty28,$25k-$50k,0,No,nan,C++,Love the course.
S10012,24.0,prefer not to say,CS,3.7,nan,1.0,,nan,2027,$25k-$50k,45 min,0,nan,SQL,Too much homework.
S10013,25.0,Female,Data Science,5.1,-3,2.0,,Yes,2026,<$25k,nan,1,nan,nan,Need more examples.
S10014,18.0,Female,Undeclared,nan,nan,5.0,,No,twenty28,$25k-$50k,nan,No,80%,Python,Love the course.
S10015,18.0,nan,CS,5.1,nan,1.0,2025-11-05,N,2027,>$100k,45 min,1,105%,JavaScript,Love the course.
S10016,18.0,nan,Data Science,"4,0",-3,,2025-10-04,No,nan,$25k-$50k,0,Yes,nan,Rust,nan
S10017,19.0,Male,CS,"4,0",nan,,,nan,2028,$50k-$75k,45 min,nan,105%,Java,Lectures are 🔥
S10018,,non-binary,nan,5.1,-3,1.0,,nan,2027,$25k-$50k,nan,FALSE,nan,Java,nan
S10019,,Female,Business,3.75,12.5,,2025-11-02,Y,2027,Prefer not to say,nan,TRUE,nan,Go,Love the course.
S10020,20.0,prefer not to say,CompSci,"4,0",nan,2.0,2025-11-28,Yes,2026,nan,nan,1,nan,Python,Too much homework.
S10021,18.0,non-binary,Biology,3.75,20,,,No,2028,$25k-$50k,nan,1,nan,Java,Love the course.
S10022,,Female,History,3.75,0,1.0,2025-10-31,N,twenty28,$50k-$75k,45 min,No,nan,JavaScript,Love the course.
S10023,22.0,Male,History,"4,0",-3,,2025-09-04,nan,2028,>$100k,33,FALSE,nan,SQL,nan
S10024,24.0,nan,CompSci,"4,0",12.5,1.0,,Y,2029,$50k-$75k,nan,nan,nan,Go,nan
S10025,,non-binary,Undeclared,3.75,-3,3.0,,No,2030,Prefer not to say,nan,1,nan,Python,nan
S10026,21.0,prefer not to say,nan,nan,nan,,2025-11-26,Yes,twenty28,nan,nan,nan,nan,Go,nan
S10027,,non-binary,Biology,nan,0,4.0,,Y,twenty28,$75k-$100k,45 min,1,nan,SQL,Need more examples.
S10028,,Male,Data Science,nan,-3,,,N,2027,$75k-$100k,-5,nan,105%,nan,nan
S10029,24.0,nan,CS,3.75,nan,,2025-10-04,No,nan,nan,-5,No,nan,nan,Lectures are 🔥
S10030,21.0,non-binary,Business,"4,0",nan,3.0,,No,2028,Prefer not to say,nan,1,nan,Go,Need more examples.
S10031,24.0,Male,Biology,nan,28,,2025-11-01,nan,nan,nan,0,No,nan,JavaScript,Need more examples.
S10032,25.0,Male,Undeclared,3.75,0,3.0,2025-10-30,Yes,2026,$75k-$100k,75,FALSE,nan,SQL,nan
S10033,20.0,Male,History,nan,20,,2025-10-19,nan,nan,nan,-5,TRUE,nan,Python,nan
S10034,,Male,Computer Science,nan,6,3.0,2025-10-01,nan,2027,>$100k,-5,nan,105%,Go,nan
S10035,,Male,Math,3.92,18,5.0,,nan,2030,Prefer not to say,nan,No,98%,Rust,Love the course.
S10036,,Male,Business,3.75,nan,,2025-11-22,Y,2030,nan,nan,1,nan,nan,Lectures are 🔥
S10037,20.0,nan,History,"4,0",nan,,,Yes,nan,$50k-$75k,nan,nan,105%,JavaScript,Need more examples.
S10038,,prefer not to say,Business,5.1,nan,,2025-09-28,nan,nan,$50k-$75k,nan,TRUE,nan,JavaScript,nan
S10039,,prefer not to say,CS,nan,nan,,2025-10-28,Y,nan,$25k-$50k,45 min,nan,105%,Go,nan
S10040,,non-binary,Undeclared,"4,0",20,,2025-10-05,nan,2029,<$25k,15,FALSE,nan,Java,nan
S10041,,prefer not to say,History,5.1,12.5,2.0,2025-09-25,N,nan,$25k-$50k,38,Yes,105%,Python,Lectures are 🔥
S10042,22.0,Female,CS,2.03,12.5,,,nan,2028,<$25k,-5,FALSE,nan,C++,nan
S10043,19.0,nan,Computer Science,5.1,12.5,2.0,2025-10-02,Yes,2030,>$100k,45 min,1,105%,nan,Need more examples.
S10044,24.0,non-binary,nan,"4,0",nan,4.0,2025-11-20,nan,2027,$25k-$50k,nan,FALSE,nan,Python,Too much homework.
S10045,,nan,CS,nan,12.5,,,N,nan,nan,45 min,1,nan,JavaScript,Love the course.
S10046,20.0,Male,Computer Science,nan,12.5,,,No,nan,Prefer not to say,nan,0,98%,C++,Need more examples.
S10047,24.0,non-binary,nan,2.35,7,5.0,2025-11-13,N,twenty28,>$100k,-5,nan,nan,SQL,Too much homework.
S10048,19.0,prefer not to say,Business,nan,nan,3.0,,No,twenty28,$50k-$75k,0,TRUE,nan,C++,Need more examples.
S10049,23.0,Male,Undeclared,5.1,-3,,2025-10-23,N,nan,>$100k,-5,TRUE,nan,Rust,Too much homework.
S10050,22.0,prefer not to say,CS,3.75,ten,3.0,,Y,2030,<$25k,nan,0,nan,Java,Love the course.
S10051,,non-binary,Undeclared,nan,nan,,,N,2028,nan,nan,1,nan,Rust,Lectures are 🔥
S10052,,non-binary,nan,3.75,nan,,,nan,nan,>$100k,0,0,105%,JavaScript,Lectures are 🔥
S10053,24.0,Female,Undeclared,3.75,0,,,N,twenty28,<$25k,15,FALSE,105%,nan,nan
S10054,25.0,Male,Math,3.75,nan,,2025-10-04,Yes,2030,Prefer not to say,15,1,94%,nan,Lectures are 🔥
S10055,,Male,Biology,nan,nan,,,No,2027,$75k-$100k,nan,TRUE,nan,Go,Love the course.
S10056,23.0,non-binary,Undeclared,"4,0",nan,3.0,2025-09-23,Yes,2030,>$100k,45 min,0,nan,Java,nan
S10057,,non-binary,CS,2.36,nan,5.0,,N,2027,$75k-$100k,nan,1,nan,Rust,nan
S10058,21.0,prefer not to say,CS,nan,20,5.0,2025-11-29,Y,2030,$50k-$75k,1,0,105%,Rust,nan
S10059,23.0,Female,Biology,3.75,nan,2.0,,Y,nan,nan,56,nan,nan,Java,nan
S10060,23.0,prefer not to say,Math,5.1,20,,2025-11-04,N,nan,nan,nan,nan,89%,C++,nan
S10061,20.0,Female,Undeclared,5.1,20,2.0,2025-10-21,nan,2027,$75k-$100k,nan,1,nan,Go,nan
S10062,25.0,Male,nan,"4,0",ten,2.0,,No,nan,Prefer not to say,nan,Yes,nan,Python,Love the course.
S10063,19.0,Male,Biology,nan,nan,,,No,2030,>$100k,0,FALSE,nan,nan,nan
S10064,22.0,Male,Business,nan,ten,,,nan,nan,<$25k,nan,No,nan,nan,Love the course.
S10065,,nan,Computer Science,nan,nan,4.0,,N,2029,nan,15,Yes,nan,Python,nan
S10066,20.0,nan,History,3.56,21,3.0,2025-09-02,N,nan,<$25k,nan,TRUE,93%,SQL,Too much homework.
S10067,,Male,CS,nan,nan,,2025-11-04,Yes,2026,Prefer not to say,nan,0,nan,Python,nan
S10068,24.0,prefer not to say,Data Science,nan,nan,,2025-11-17,Y,2028,$50k-$75k,15,1,105%,Rust,nan
S10069,,prefer not to say,Data Science,3.54,-3,4.0,,N,2030,$50k-$75k,0,1,nan,C++,nan
S10070,23.0,non-binary,Business,3.75,nan,2.0,2025-09-12,Y,2030,<$25k,nan,TRUE,nan,Go,nan
S10071,23.0,prefer not to say,Computer Science,"4,0",20,2.0,,N,2028,Prefer not to say,45 min,FALSE,nan,Go,Lectures are 🔥
S10072,,Female,Undeclared,5.1,-3,1.0,,No,nan,<$25k,nan,nan,nan,Go,Lectures are 🔥
S10073,20.0,nan,Undeclared,3.75,20,2.0,2025-11-07,nan,2030,$75k-$100k,nan,nan,105%,Go,Lectures are 🔥
S10074,19.0,Male,Math,"4,0",nan,5.0,,nan,twenty28,>$100k,0,nan,nan,C++,Too much homework.
S10075,19.0,non-binary,nan,3.75,9,4.0,,Y,2026,$25k-$50k,45 min,Yes,nan,Rust,nan
S10076,19.0,Male,CS,nan,0,,2025-11-30,Yes,nan,<$25k,50,1,nan,nan,Love the course.
S10077,,prefer not to say,nan,3.75,12.5,2.0,2025-10-22,nan,2028,nan,-5,nan,nan,SQL,Love the course.
S10078,24.0,nan,Undeclared,nan,12.5,,2025-09-29,N,2027,>$100k,nan,No,nan,Go,nan
S10079,21.0,Male,Math,nan,nan,2.0,,nan,twenty28,nan,-5,nan,nan,Go,nan
S10080,19.0,prefer not to say,CS,5.1,8,,2025-11-04,nan,twenty28,$75k-$100k,4,nan,64%,Rust,nan
S10081,,nan,CompSci,"4,0",17,,,N,nan,>$100k,nan,TRUE,81%,C++,Need more examples.
S10082,,Female,Computer Science,nan,-3,,2025-11-18,nan,nan,$50k-$75k,0,nan,nan,Python,nan
S10083,19.0,non-binary,Data Science,nan,12.5,3.0,2025-10-13,Yes,2028,$50k-$75k,0,Yes,105%,C++,nan
S10084,24.0,non-binary,Math,5.1,-3,2.0,,nan,nan,<$25k,nan,Yes,nan,Go,Too much homework.
S10085,21.0,Female,Math,5.1,nan,,,Yes,2026,Prefer not to say,nan,1,105%,Java,Too much homework.
S10086,20.0,prefer not to say,Computer Science,3.75,ten,,2025-11-18,No,twenty28,$25k-$50k,45 min,nan,nan,nan,nan
S10087,,nan,CS,nan,0,,,N,2029,nan,nan,nan,105%,nan,Love the course.
S10088,19.0,nan,Data Science,5.1,12.5,,2025-11-05,nan,2027,$25k-$50k,15,TRUE,105%,Python,Need more examples.
S10089,23.0,Female,Undeclared,nan,7,,,No,nan,nan,nan,TRUE,nan,nan,Lectures are 🔥
S10090,25.0,nan,Computer Science,3.79,ten,3.0,,Yes,2030,<$25k,45 min,nan,nan,Python,Love the course.
S10091,,nan,CS,5.1,nan,,,Yes,2029,Prefer not to say,nan,1,105%,Go,Love the course.
S10092,24.0,Female,Data Science,nan,-3,,,Yes,2026,$75k-$100k,60,1,nan,Rust,Lectures are 🔥
S10093,19.0,non-binary,Biology,3.75,20,3.0,2025-09-06,Yes,nan,nan,nan,0,nan,nan,nan
S10094,20.0,Male,CS,nan,ten,1.0,2025-10-11,Yes,2030,nan,-5,nan,nan,JavaScript,Love the course.
S10095,18.0,non-binary,History,nan,0,,2025-10-20,N,twenty28,Prefer not to say,15,nan,87%,C++,nan
S10096,24.0,nan,Math,nan,nan,,2025-11-24,nan,twenty28,>$100k,nan,0,nan,nan,Lectures are 🔥
S10097,,prefer not to say,History,5.1,30,2.0,,nan,nan,>$100k,nan,TRUE,nan,nan,Too much homework.
S10098,19.0,Female,Business,"4,0",nan,,2025-10-18,nan,2027,>$100k,15,1,75%,Rust,Lectures are 🔥
S10099,18.0,Female,CS,"4,0",12.5,5.0,,N,nan,Prefer not to say,45 min,FALSE,nan,C++,Too much homework.
S10100,,prefer not to say,Data Science,5.1,20,2.0,,nan,nan,nan,nan,nan,nan,JavaScript,nan
S10101,20.0,Female,CS,"4,0",20,,2025-11-10,Yes,2027,<$25k,0,0,105%,SQL,nan
S10102,19.0,Female,Business,nan,-3,,,No,2028,nan,0,TRUE,nan,C++,nan
S10103,22.0,Female,Math,3.75,20,,2025-10-07,nan,2029,Prefer not to say,nan,Yes,105%,Rust,nan
S10104,19.0,nan,Math,"4,0",nan,,2025-11-12,Y,2027,<$25k,nan,No,99%,SQL,nan
S10105,25.0,nan,History,nan,ten,,,Y,2026,$25k-$50k,0,0,105%,JavaScript,Need more examples.
S10106,20.0,non-binary,Business,5.1,0,3.0,,Yes,2027,$50k-$75k,-5,FALSE,nan,nan,Lectures are 🔥
S10107,19.0,Male,History,5.1,0,4.0,2025-09-21,Yes,nan,$25k-$50k,-5,0,91%,Rust,Need more examples.
S10108,19.0,prefer not to say,CompSci,nan,20,1.0,2025-09-07,nan,twenty28,$50k-$75k,68,FALSE,nan,Java,Need more examples.
S10109,24.0,non-binary,Computer Science,"4,0",ten,,2025-11-10,Y,2030,>$100k,nan,FALSE,nan,C++,Too much homework.
S10110,23.0,nan,Business,nan,-3,,2025-11-04,Y,2026,$25k-$50k,-5,0,105%,Java,Too much homework.
S10111,23.0,Female,Undeclared,3.75,12.5,,,Yes,twenty28,Prefer not to say,nan,0,nan,Python,nan
S10112,,Male,Undeclared,5.1,28,,,Yes,2029,Prefer not to say,-5,Yes,nan,SQL,nan
S10113,18.0,nan,Data Science,nan,0,3.0,,N,2030,>$100k,-5,TRUE,nan,Java,nan
S10114,,non-binary,CS,nan,nan,,2025-11-08,Yes,nan,Prefer not to say,nan,0,105%,JavaScript,Too much homework.
